,subject_id,irq-catch-1,irq-manipulation-1,irq-manipulation-2,irq-manipulation-3,irq-manipulation-4,irq-manipulation-5,irq-manipulation-6,irq-manipulation-7,irq-manipulation-8,irq-ortho-1,irq-ortho-2,irq-ortho-3,irq-ortho-4,irq-ortho-5,irq-ortho-6,irq-ortho-7,irq-verbal-1,irq-verbal-10,irq-verbal-11,irq-verbal-12,irq-verbal-2,irq-verbal-3,irq-verbal-4,irq-verbal-5,irq-verbal-6,irq-verbal-7,irq-verbal-8,irq-verbal-9,irq-visual-1,irq-visual-10,irq-visual-2,irq-visual-3,irq-visual-4,irq-visual-5,irq-visual-6,irq-visual-7,irq-visual-8,irq-visual-9,osivq-catch-1,osivq-catch-2,osviq-object-1,osviq-object-10,osviq-object-11,osviq-object-12,osviq-object-13,osviq-object-14,osviq-object-15,osviq-object-2,osviq-object-3,osviq-object-4,osviq-object-5,osviq-object-6,osviq-object-7,osviq-object-8,osviq-object-9,osviq-spatial-1,osviq-spatial-10,osviq-spatial-11,osviq-spatial-12,osviq-spatial-13,osviq-spatial-14,osviq-spatial-15,osviq-spatial-2,osviq-spatial-3,osviq-spatial-4,osviq-spatial-5,osviq-spatial-6,osviq-spatial-7,osviq-spatial-8,osviq-spatial-9,osviq-verbal-1,osviq-verbal-10,osviq-verbal-11,osviq-verbal-12,osviq-verbal-13,osviq-verbal-14,osviq-verbal-15,osviq-verbal-2,osviq-verbal-3,osviq-verbal-4,osviq-verbal-5,osviq-verbal-6,osviq-verbal-7,osviq-verbal-8,osviq-verbal-9,vviq-1,vviq-10,vviq-11,vviq-12,vviq-13,vviq-14,vviq-15,vviq-16,vviq-2,vviq-3,vviq-4,vviq-5,vviq-6,vviq-7,vviq-8,vviq-9,time_elapsed,attention_accuracy_questionnaires,vviq_sum,vviq_z,osivq_verbal_mean,osivq_visual_mean,osivq_spatial_mean,irq_verbal_mean,irq_visual_mean,failed_check_count,z_osivq_verbal_mean,z_osivq_visual_mean,z_osivq_spatial_mean,z_irq_verbal_mean,z_irq_visual_mean
499,164935,1,5,4,5,4,5,2,1,4,3,2,3,4,4,2,5,5,1,4,5,4,4,4,4,5,5,4,3,3,3,3,3,4,2,5,3,3,3,5,1,3,3,2,3,2,2,3,3,4,2,4,3,2,3,4,5,4,1,5,2,4,2,1,3,2,2,4,3,1,2,2,3,4,1,2,3,1,2,2,5,3,1,2,3,1,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,3,964714,1,47,-0.5919338755795018,2.3333333333333335,2.8666666666666667,2.7333333333333334,4.0,3.2,0,-1.4308616216046337,-0.593040234863676,-0.05775316861038625,0.5246606813464209,-0.38803701192821904
501,165019,1,5,4,5,5,1,5,4,5,5,4,4,4,4,5,5,4,1,4,5,5,4,4,4,5,5,5,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,4,4,4,5,5,5,3,5,4,4,5,5,5,3,4,3,4,5,2,5,5,5,5,5,5,4,5,4,1,5,5,4,5,5,2,5,3,1,4,4,4,5,4,1,5,4,4,5,4,4,4,4,4,4,5,4,5,4,5,619763,0,66,0.7366882093367165,3.8,4.533333333333333,4.266666666666667,4.25,4.3,1,1.7035525944586207,1.9825859408362876,2.8835332041899844,0.8964989457722923,1.142664260061121
502,165061,1,1,5,5,5,1,2,2,4,3,1,2,4,5,1,5,1,1,4,5,5,4,3,3,4,5,5,4,4,2,4,4,3,5,2,4,4,3,5,1,3,1,3,4,1,3,2,3,5,1,1,4,3,3,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,2,1,1,4,5,1,3,1,3,2,5,2,1,4,5,3,3,5,3,4,3,3,5,3,3,5,5,5,5,4,360831,1,64,0.5968332530297462,2.466666666666667,2.533333333333333,1.2666666666666666,3.6666666666666665,3.5,0,-1.1459148746897923,-1.108165470003669,-2.8711575252020456,0.028876328778592173,0.02942697134160086
506,165337,1,1,5,1,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,4,5,4,4,5,1,5,5,4,5,4,4,4,5,4,1,5,4,5,4,4,2,1,1,4,5,5,1,1,2,4,5,1,4,4,2,5,4,5,2,5,5,5,5,4,5,5,2,4,2,2,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3,662490,1,59,0.24719586226232027,4.0,4.2,2.8,5.0,4.0,0,2.1309727148308832,1.4674607056962954,0.07012884759832506,2.012013739049906,0.7252002767913012
507,165355,1,4,3,4,4,5,2,3,4,3,2,3,2,4,2,4,4,2,3,3,3,4,2,3,4,5,4,4,4,3,3,3,5,4,3,3,4,2,5,1,4,2,4,4,2,1,1,2,2,2,1,3,3,4,3,3,3,3,4,1,5,3,4,3,2,2,4,1,2,2,5,1,3,1,2,2,2,2,1,4,1,3,1,1,3,4,5,4,5,3,3,4,5,4,3,5,4,3,5,5,2,680808,1,64,0.5968332530297462,2.1333333333333333,2.533333333333333,2.8,3.4166666666666665,3.4,0,-1.858281741976896,-1.108165470003669,0.07012884759832506,-0.3429619356472792,-0.10972768974833931
508,165367,1,4,5,4,5,5,5,5,2,2,1,1,1,4,5,5,3,4,5,1,5,5,3,4,4,4,5,5,5,1,5,1,5,5,5,5,5,1,5,1,5,1,5,5,1,2,1,5,5,1,1,1,3,5,5,1,3,5,5,5,5,1,1,5,5,1,5,4,1,4,4,3,5,1,5,5,3,4,2,5,4,1,3,1,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,4,676854,1,76,1.4359629908715683,3.4,3.066666666666667,3.4,4.0,3.8,0,0.8487123537140968,-0.28396509377968,1.221066993476731,0.5246606813464209,0.44689095461142075
509,165463,1,1,4,3,4,1,4,4,5,4,3,3,1,4,3,5,5,5,5,4,5,5,5,4,5,5,5,2,3,4,3,3,2,3,3,2,1,3,5,1,3,3,2,4,3,2,2,3,3,2,4,4,3,5,3,1,3,4,1,4,1,2,2,1,3,2,1,1,2,2,2,2,4,1,4,2,2,3,3,1,4,3,2,2,2,1,2,3,2,2,3,2,3,2,2,3,3,3,3,3,1,647147,1,38,-1.2212811789608684,2.466666666666667,3.066666666666667,2.0,4.583333333333333,2.7,0,-1.1459148746897923,-0.28396509377968,-1.4644553469062158,1.3922832983401203,-1.0838103173779192
511,165658,1,4,5,3,5,5,5,5,5,5,1,4,1,4,4,5,5,4,4,5,3,4,4,5,3,5,5,4,5,1,5,4,5,5,4,4,5,4,5,1,5,4,5,5,3,5,5,5,5,4,3,5,4,4,5,4,5,3,4,4,4,2,1,1,1,2,4,1,2,2,4,2,5,1,3,5,2,5,5,5,5,3,5,2,2,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,341967,1,74,1.2961080345645979,3.6,4.466666666666667,2.6666666666666665,4.25,4.2,0,1.276132474086359,1.8795608938082895,-0.1856351848190984,0.8964989457722923,1.0035095989711815
512,165685,1,3,5,3,5,3,5,5,5,3,1,1,2,1,3,5,3,1,5,4,5,5,5,5,4,5,4,5,4,3,5,5,4,5,5,4,4,4,5,1,4,5,3,5,2,5,3,5,5,2,4,3,4,5,5,3,2,4,4,1,3,2,1,1,2,1,3,1,1,3,5,1,4,2,4,4,5,5,3,5,4,3,3,2,2,5,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,622535,1,68,0.8765431656436868,3.466666666666667,4.0,2.1333333333333333,4.25,4.3,0,0.9911857271715179,1.1583855646122994,-1.2086913144887923,0.8964989457722923,1.142664260061121
514,165808,1,1,5,1,4,2,4,4,2,1,1,1,1,1,4,5,3,4,5,5,5,5,5,5,4,5,5,3,2,4,4,3,4,2,5,2,2,1,5,1,4,4,5,3,2,2,4,4,5,1,3,5,3,2,1,1,3,1,3,2,2,2,1,1,2,3,1,4,2,1,3,3,1,1,2,3,1,1,4,3,1,1,4,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,683769,1,31,-1.7107735260352648,2.0,3.2,1.9333333333333333,4.5,2.9,0,-2.1432284888917374,-0.07791499972368293,-1.5923373631149276,1.2683372101981636,-0.8055009951980395
515,165823,1,4,1,4,2,5,2,1,3,1,1,1,1,1,1,2,3,3,2,1,1,3,2,1,3,2,1,1,1,5,1,1,1,2,4,2,1,1,5,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,3,2,1,4,3,2,4,1,4,1,2,4,4,2,3,2,1,4,2,1,1,1,3,2,3,3,4,1,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,387143,1,16,-2.7596856983375426,2.6666666666666665,1.4666666666666666,2.6,1.9166666666666667,1.9,0,-0.7184947543175308,-2.756566222451646,-0.3135172010278097,-2.5739915222025074,-2.19704760609744
516,165835,1,3,4,3,4,3,5,4,2,4,1,1,1,2,2,5,5,4,3,5,5,5,4,5,2,4,3,4,3,2,4,4,5,5,4,3,4,3,5,1,3,2,4,5,3,3,4,4,1,2,3,3,3,5,5,3,1,3,3,3,3,3,4,4,2,2,3,4,1,3,4,3,4,1,4,5,3,3,5,5,5,4,5,1,2,4,4,4,5,5,5,5,5,5,3,5,5,4,4,5,5,782204,1,73,1.2261805564111128,3.6,3.3333333333333335,2.8,4.083333333333333,3.7,0,1.276132474086359,0.12813509433231413,0.07012884759832506,0.6486067694883776,0.3077362935214812
517,165862,1,2,4,3,5,3,4,3,5,4,2,3,4,4,3,4,4,4,3,4,4,5,4,5,3,4,3,3,5,2,5,4,4,5,4,4,4,5,5,1,4,2,4,4,2,4,4,5,2,3,4,3,4,4,4,3,3,3,4,3,2,2,4,2,2,2,2,2,4,3,3,2,4,2,3,3,2,3,2,4,3,4,3,4,2,4,5,5,5,3,4,4,4,5,4,4,5,4,4,4,5,1274183,1,69,0.946470643797172,2.933333333333333,3.533333333333333,2.7333333333333334,3.8333333333333335,4.2,0,-0.14860126048784825,0.4372102354163094,-0.05775316861038625,0.2767685050625069,1.0035095989711815
