,subject_id,irq-catch-1,irq-manipulation-1,irq-manipulation-2,irq-manipulation-3,irq-manipulation-4,irq-manipulation-5,irq-manipulation-6,irq-manipulation-7,irq-manipulation-8,irq-ortho-1,irq-ortho-2,irq-ortho-3,irq-ortho-4,irq-ortho-5,irq-ortho-6,irq-ortho-7,irq-verbal-1,irq-verbal-10,irq-verbal-11,irq-verbal-12,irq-verbal-2,irq-verbal-3,irq-verbal-4,irq-verbal-5,irq-verbal-6,irq-verbal-7,irq-verbal-8,irq-verbal-9,irq-visual-1,irq-visual-10,irq-visual-2,irq-visual-3,irq-visual-4,irq-visual-5,irq-visual-6,irq-visual-7,irq-visual-8,irq-visual-9,osivq-catch-1,osivq-catch-2,osviq-object-1,osviq-object-10,osviq-object-11,osviq-object-12,osviq-object-13,osviq-object-14,osviq-object-15,osviq-object-2,osviq-object-3,osviq-object-4,osviq-object-5,osviq-object-6,osviq-object-7,osviq-object-8,osviq-object-9,osviq-spatial-1,osviq-spatial-10,osviq-spatial-11,osviq-spatial-12,osviq-spatial-13,osviq-spatial-14,osviq-spatial-15,osviq-spatial-2,osviq-spatial-3,osviq-spatial-4,osviq-spatial-5,osviq-spatial-6,osviq-spatial-7,osviq-spatial-8,osviq-spatial-9,osviq-verbal-1,osviq-verbal-10,osviq-verbal-11,osviq-verbal-12,osviq-verbal-13,osviq-verbal-14,osviq-verbal-15,osviq-verbal-2,osviq-verbal-3,osviq-verbal-4,osviq-verbal-5,osviq-verbal-6,osviq-verbal-7,osviq-verbal-8,osviq-verbal-9,vviq-1,vviq-10,vviq-11,vviq-12,vviq-13,vviq-14,vviq-15,vviq-16,vviq-2,vviq-3,vviq-4,vviq-5,vviq-6,vviq-7,vviq-8,vviq-9,time_elapsed,attention_accuracy_questionnaires,vviq_sum,vviq_z,osivq_verbal_mean,osivq_visual_mean,osivq_spatial_mean,irq_verbal_mean,irq_visual_mean,failed_check_count,z_osivq_verbal_mean,z_osivq_visual_mean,z_osivq_spatial_mean,z_irq_verbal_mean,z_irq_visual_mean
528,166552,1,3,3,3,4,3,2,3,3,2,1,4,1,2,5,5,3,4,3,4,4,5,5,4,4,4,4,5,4,2,4,4,4,4,4,2,3,4,5,1,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,2,1,4,3,4,3,1,2,1,2,2,3,2,1,2,3,4,3,2,4,3,2,3,4,2,3,1,5,1,4,3,3,3,4,3,3,3,4,4,3,2,5,5,4,4,3,570428,1,56,0.03741342780186473,2.933333333333333,3.8,2.2,4.083333333333333,3.5,0,-0.14860126048784825,0.8493104235283035,-1.08080929828008,0.6486067694883776,0.02942697134160086
529,166588,2,4,3,2,5,4,4,3,5,3,3,4,3,4,4,4,4,3,4,4,4,4,4,5,3,4,3,4,5,2,4,4,3,4,4,3,2,5,5,1,4,4,4,4,4,4,5,5,3,4,4,5,4,4,4,4,4,2,4,2,4,3,3,2,2,2,4,2,3,3,3,4,3,2,4,4,2,3,2,3,3,2,2,2,3,4,4,4,4,4,4,5,5,3,3,4,5,5,5,5,4,2054106,0,68,0.8765431656436868,2.8,4.133333333333334,2.933333333333333,3.8333333333333335,3.6,1,-0.43354800740268956,1.364435658668297,0.32589288001574857,0.2767685050625069,0.16858163243154103
531,166792,1,5,5,4,3,5,1,5,5,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,2,1,4,2,2,4,5,1,2,4,5,2,2,2,2,5,1,4,3,5,5,3,1,5,3,4,5,3,5,2,5,3,4,4,3,2,2,2,5,5,5,5,5,5,4,5,1,5,5,5,5,5,1,2,3,3,3,4,3,2,2,2,1,1,4,4,4,3,1,302091,1,42,-0.9415712663469278,4.4,3.066666666666667,3.466666666666667,4.666666666666667,2.8,0,2.985812955575408,-0.28396509377968,1.3489490096854433,1.5162293864820784,-0.9446556562879798
532,166843,1,3,1,1,5,4,5,2,5,3,1,1,2,4,2,4,5,5,4,3,5,3,3,3,1,5,3,2,5,2,4,4,5,4,3,3,5,3,5,1,4,2,4,5,3,3,1,4,1,2,3,5,4,4,3,2,5,1,3,2,4,1,5,4,2,3,3,2,2,1,3,3,3,1,3,5,1,3,4,3,4,2,3,1,3,4,2,5,5,3,4,5,3,5,2,3,4,4,2,3,3,686580,1,57,0.10734090595534991,2.8,3.2,2.6666666666666665,3.5,3.8,0,-0.43354800740268956,-0.07791499972368293,-0.1856351848190984,-0.21901584750532185,0.44689095461142075
533,166864,1,4,5,2,4,4,4,2,5,4,3,3,1,4,3,5,3,4,4,5,4,4,4,3,4,4,3,3,4,2,5,4,3,4,4,4,4,3,5,1,5,3,4,5,5,2,4,3,5,2,4,3,4,4,5,4,1,3,2,2,5,2,1,1,2,2,5,1,2,1,3,3,3,2,2,4,2,2,2,3,3,1,4,2,2,5,5,4,5,4,5,4,5,5,4,4,5,5,4,4,5,524312,1,73,1.2261805564111128,2.533333333333333,3.8666666666666667,2.2666666666666666,3.75,3.7,0,-1.003441501232372,0.9523354705563024,-0.9529272820713689,0.15282241692054951,0.3077362935214812
534,166870,1,3,5,1,3,4,5,3,5,5,4,5,1,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,5,5,1,5,5,4,4,2,4,4,3,5,4,5,2,5,4,5,1,5,5,5,2,3,3,1,3,2,4,2,4,4,1,3,2,4,1,3,2,4,5,5,3,3,1,1,2,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,397338,1,79,1.6457454253320238,2.6666666666666665,4.066666666666666,3.0,4.833333333333333,4.6,0,-0.7184947543175308,1.2614106116402977,0.4537748962244607,1.7641215627659916,1.560128243330941
535,166891,1,5,5,5,5,5,2,4,4,2,1,4,2,1,2,5,1,2,1,2,2,2,2,4,3,2,1,4,2,5,5,5,2,4,2,4,4,2,5,1,3,4,4,2,2,5,2,4,1,4,4,5,5,5,2,4,1,5,1,3,5,2,5,5,5,1,4,2,4,4,4,1,5,2,2,4,4,4,4,1,5,4,5,4,5,5,2,4,4,2,4,4,3,3,4,2,4,5,4,5,1,565302,1,56,0.03741342780186473,3.6,3.466666666666667,3.4,2.1666666666666665,3.5,0,1.276132474086359,0.3341851883883112,1.221066993476731,-2.202153257776636,0.02942697134160086
536,166897,1,3,3,3,4,3,3,3,3,2,2,3,2,2,2,4,4,4,2,3,3,2,3,3,2,4,4,5,4,2,4,3,5,4,5,4,4,3,5,1,2,2,4,3,2,3,3,3,2,2,2,3,2,4,4,3,2,3,2,3,3,1,4,2,3,3,3,2,2,2,2,1,2,1,3,2,1,1,2,1,2,2,4,1,2,3,3,3,2,4,4,4,4,3,2,4,4,4,4,3,2,1951404,1,53,-0.1723690066585908,1.8,2.7333333333333334,2.533333333333333,3.25,3.8,0,-2.5706486092639995,-0.799090328919673,-0.44139921723652187,-0.5908541119311932,0.44689095461142075
537,166972,2,3,4,2,5,4,4,3,5,3,3,3,5,4,3,5,5,4,5,3,3,4,5,3,3,3,4,3,5,3,5,5,4,5,5,5,5,4,5,1,4,5,4,5,5,4,5,5,3,5,4,4,5,5,5,2,4,3,3,4,4,2,2,3,3,4,4,3,4,3,3,2,3,3,3,3,4,3,4,3,3,4,3,2,3,5,5,3,5,5,5,5,5,5,5,5,4,4,4,5,5,979745,0,75,1.3660355127180832,3.066666666666667,4.533333333333333,3.2,3.75,4.6,1,0.13634548642699398,1.9825859408362876,0.8374209448505964,0.15282241692054951,1.560128243330941
538,167059,1,4,5,4,4,4,3,5,3,2,1,2,2,5,3,4,4,5,3,4,5,4,4,4,4,4,5,3,4,1,5,4,4,5,4,5,3,2,1,1,3,4,1,5,2,3,2,5,1,5,4,4,3,3,4,2,2,4,3,4,3,2,5,4,3,4,3,3,4,2,4,2,5,2,4,3,4,4,1,4,4,2,2,1,2,5,2,3,3,3,3,3,4,4,4,5,4,5,3,3,3,686898,0,57,0.10734090595534991,2.933333333333333,3.2666666666666666,3.2,4.083333333333333,3.7,1,-0.14860126048784825,0.02511004730431525,0.8374209448505964,0.6486067694883776,0.3077362935214812
539,167080,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,3,3,3,3,2,3,3,3,3,1,3,3,4,3,3,3,4,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,4,5,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,250034,1,69,0.946470643797172,3.1333333333333333,2.8666666666666667,3.066666666666667,3.0,3.0,0,0.2788188598844142,-0.593040234863676,0.5816569124331729,-0.9626923763570646,-0.6663463341080994
540,167176,1,3,4,4,3,4,4,4,4,4,4,5,4,4,5,4,4,1,5,4,3,4,2,4,5,4,4,4,5,4,4,4,2,2,4,4,4,3,5,1,5,3,3,5,4,4,4,4,5,3,4,4,3,2,3,3,4,3,4,4,4,2,2,3,4,4,5,4,4,3,5,4,4,4,2,4,3,4,3,4,4,4,2,3,2,4,5,5,3,3,4,5,4,2,5,4,4,4,4,5,5,330470,1,66,0.7366882093367165,3.466666666666667,3.7333333333333334,3.533333333333333,3.6666666666666665,3.6,0,0.9911857271715179,0.7462853765003054,1.4768310258941546,0.028876328778592173,0.16858163243154103
542,167302,1,4,3,5,5,5,5,3,5,4,2,3,2,3,2,2,5,1,3,3,3,3,3,3,3,5,3,5,5,2,5,5,5,5,5,5,5,4,5,1,5,4,5,4,5,5,5,5,4,4,2,1,4,3,5,4,2,5,4,3,4,3,2,2,2,2,4,2,2,3,4,3,4,1,3,3,3,4,2,4,3,1,1,1,2,5,4,5,5,5,4,5,5,4,3,5,5,4,5,5,5,614504,1,74,1.2961080345645979,2.6,4.066666666666666,2.933333333333333,3.3333333333333335,4.6,0,-0.860968127774951,1.2614106116402977,0.32589288001574857,-0.4669080237892359,1.560128243330941
543,167353,1,4,5,4,5,4,3,4,3,5,3,4,4,4,4,3,4,4,3,5,5,5,5,5,4,4,5,3,5,2,5,4,3,5,5,5,5,3,5,1,3,4,5,4,4,4,4,4,5,3,4,4,4,3,4,3,3,4,3,3,4,1,1,5,2,3,4,3,1,3,5,3,2,2,3,5,2,1,1,5,3,2,4,2,1,4,4,4,4,4,5,5,4,5,4,5,5,5,4,5,5,699004,1,72,1.1562530782576277,2.7333333333333334,3.933333333333333,2.8666666666666667,4.333333333333333,4.2,0,-0.5760213808601098,1.0553605175843006,0.19801086380703722,1.020445033914249,1.0035095989711815
544,167389,1,3,2,4,3,3,2,2,3,1,2,3,1,3,3,5,1,3,1,4,4,4,4,4,4,3,3,3,3,4,3,3,2,2,2,3,3,3,5,1,2,3,2,3,3,1,4,1,2,1,4,4,3,3,3,2,2,4,2,4,4,1,3,2,2,3,3,2,3,2,3,4,3,1,4,3,3,3,1,4,3,4,4,3,4,2,3,2,3,2,2,2,4,3,3,4,3,2,4,2,2,948743,1,43,-0.8716437881934426,3.1333333333333333,2.6,2.6,3.1666666666666665,2.8,0,0.2788188598844142,-1.00514042297567,-0.3135172010278097,-0.7148002000731506,-0.9446556562879798
545,167431,1,3,4,3,4,3,4,5,3,4,3,4,4,3,3,4,4,4,5,4,4,2,5,3,3,4,2,4,4,3,4,4,4,5,5,4,4,4,5,2,3,4,3,3,4,4,4,4,5,5,4,4,3,4,4,3,2,4,3,3,3,4,4,3,3,3,2,4,3,2,3,3,3,4,3,4,3,3,3,2,3,4,3,4,4,3,2,3,3,3,4,4,3,4,3,3,3,3,4,4,2,7730041,0,51,-0.31222396296556115,3.2666666666666666,3.8666666666666667,3.066666666666667,3.6666666666666665,4.1,1,0.5637656067992555,0.9523354705563024,0.5816569124331729,0.028876328778592173,0.8643549378812406
546,167482,1,1,5,1,4,4,4,4,5,2,1,5,5,1,5,4,4,5,2,3,2,5,4,5,2,3,1,4,5,2,5,3,5,4,4,4,4,3,1,1,3,2,2,4,3,2,4,4,4,1,4,1,3,3,3,1,2,1,1,2,2,1,1,1,2,3,1,2,1,2,5,3,3,2,3,4,4,4,4,5,3,2,5,4,1,4,2,3,4,4,4,4,4,4,4,5,5,4,5,4,4,592502,0,64,0.5968332530297462,3.466666666666667,2.8666666666666667,1.5333333333333334,3.3333333333333335,3.9,1,0.9911857271715179,-0.593040234863676,-2.359629460367198,-0.4669080237892359,0.5860456157013609
547,167503,1,3,5,1,5,4,5,4,4,4,2,4,3,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,5,1,4,2,2,4,3,4,4,4,4,2,4,4,4,4,4,1,1,1,4,2,4,1,2,3,2,2,3,1,1,1,5,3,4,4,4,5,4,4,3,4,4,4,4,2,3,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,706964,1,77,1.5058904690250534,3.8,3.533333333333333,1.9333333333333333,4.0,3.5,0,1.7035525944586207,0.4372102354163094,-1.5923373631149276,0.5246606813464209,0.02942697134160086
548,167863,1,4,3,2,4,2,3,2,4,2,1,2,3,3,3,3,4,4,3,3,4,3,3,4,2,3,3,5,3,3,4,3,3,3,3,3,3,3,5,1,1,3,3,4,4,3,3,2,3,3,2,4,4,4,4,2,2,2,3,2,3,3,1,3,2,2,2,3,2,1,4,2,2,1,3,3,4,2,4,4,3,5,4,1,3,2,4,3,5,4,3,3,4,3,2,1,5,5,5,5,4,388729,1,58,0.17726838410883508,3.0,3.1333333333333333,2.2,3.4166666666666665,3.1,0,-0.006127887030427133,-0.18094004675168182,-1.08080929828008,-0.3429619356472792,-0.5271916730181593
549,167869,1,1,2,1,3,5,1,1,3,3,1,2,1,1,1,2,2,5,2,2,2,3,2,2,1,1,3,2,1,2,3,1,2,1,1,2,2,2,2,1,3,3,1,3,3,1,3,4,5,1,3,5,3,2,3,1,1,1,1,2,3,1,1,1,3,2,1,3,3,1,1,3,3,1,3,2,1,3,2,1,5,2,3,2,3,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,718038,0,74,1.2961080345645979,2.3333333333333335,2.8666666666666667,1.6666666666666667,2.25,1.7,1,-1.4308616216046337,-0.593040234863676,-2.1038654279497746,-2.0782071696346787,-2.47535692827732
550,167875,1,3,3,2,5,3,4,5,4,4,2,2,1,1,4,5,4,5,3,4,5,3,5,5,4,5,4,5,2,3,2,2,3,2,2,2,2,1,5,1,3,3,4,3,2,3,3,3,5,1,4,2,3,3,2,2,3,2,2,3,4,2,1,1,1,3,4,5,3,2,5,4,4,1,3,5,4,5,4,5,5,4,4,1,2,4,2,2,2,4,4,4,4,4,4,5,5,4,2,4,2,865026,1,56,0.03741342780186473,3.7333333333333334,2.933333333333333,2.533333333333333,4.333333333333333,2.1,0,1.5610792210012006,-0.49001518783567777,-0.44139921723652187,1.020445033914249,-1.9187382839175597
551,167917,1,4,3,2,4,4,4,3,4,3,3,2,1,2,2,4,4,4,3,3,5,2,5,4,4,4,5,2,3,2,3,3,4,4,3,3,5,2,5,1,2,3,2,4,3,4,4,4,4,2,3,3,3,3,3,3,1,3,3,3,5,2,3,3,3,3,4,3,3,2,2,3,3,2,2,5,2,3,2,4,3,3,2,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,912888,1,61,0.38705081856929063,2.7333333333333334,3.1333333333333333,2.933333333333333,3.75,3.2,0,-0.5760213808601098,-0.18094004675168182,0.32589288001574857,0.15282241692054951,-0.38803701192821904
552,167956,1,3,3,3,3,4,1,2,3,2,2,3,1,3,3,3,3,4,1,4,2,3,4,3,2,4,3,4,3,3,4,3,3,3,4,3,4,3,5,1,4,4,3,3,3,3,3,3,4,2,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,3,2,2,3,2,4,3,3,3,3,3,4,4,2,4,4,3,4,3,4,3,4,4,3,3,3,2,2,2,3,4,5,5,5,5,4,462687,1,57,0.10734090595534991,3.4,3.1333333333333333,2.3333333333333335,3.0833333333333335,3.3,0,0.8487123537140968,-0.18094004675168182,-0.8250452658626567,-0.8387462882151073,-0.2488823508382795
553,168001,1,4,5,5,5,4,3,2,5,2,3,4,2,2,4,4,3,4,4,4,4,3,5,4,2,4,5,4,5,4,4,4,5,3,4,4,4,3,5,1,4,3,4,4,3,4,4,5,2,1,3,2,4,4,5,4,3,4,5,2,4,4,5,3,4,3,4,5,1,3,2,2,2,1,1,4,2,2,3,1,5,1,2,2,3,5,4,4,4,4,3,3,5,3,3,5,3,5,3,4,5,979982,1,63,0.526905774876261,2.2,3.466666666666667,3.6,3.8333333333333335,4.0,0,-1.715808368519475,0.3341851883883112,1.6047130421028668,0.2767685050625069,0.7252002767913012
554,168010,1,4,3,4,5,4,3,2,4,2,4,3,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,5,4,4,4,5,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,2,2,3,3,2,2,2,3,2,2,4,3,3,5,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,485635,0,62,0.4569782967227758,2.6666666666666665,3.2,3.6,3.8333333333333335,4.0,1,-0.7184947543175308,-0.07791499972368293,1.6047130421028668,0.2767685050625069,0.7252002767913012
555,168034,1,4,2,4,3,4,4,4,4,3,2,4,1,3,4,4,3,4,2,4,4,4,4,4,4,4,2,2,4,3,4,4,4,4,4,4,4,4,5,1,4,3,4,4,3,4,3,4,2,3,4,4,4,4,4,4,3,5,5,3,4,4,4,4,4,4,5,4,2,4,4,4,4,3,3,3,2,3,2,4,3,4,3,3,2,3,3,4,4,3,4,4,2,2,2,3,3,4,4,3,3,351726,1,51,-0.31222396296556115,3.1333333333333333,3.6,3.933333333333333,3.4166666666666665,3.9,0,0.2788188598844142,0.5402352824443083,2.244123123146425,-0.3429619356472792,0.5860456157013609
556,168085,2,2,4,1,4,1,4,3,4,3,4,4,5,4,4,5,4,2,3,4,4,3,3,4,5,4,4,3,3,3,3,3,5,5,4,1,5,4,5,1,2,3,3,3,2,3,5,4,4,1,4,5,3,4,3,2,1,1,2,3,2,2,3,3,2,4,2,3,4,1,1,4,4,3,4,3,1,2,1,1,4,3,4,3,5,3,2,3,4,3,3,4,1,3,2,3,4,3,4,5,1,1297137,0,48,-0.5220063974260167,2.8666666666666667,3.2666666666666666,2.3333333333333335,3.5833333333333335,3.6,1,-0.29107463394526845,0.02511004730431525,-0.8250452658626567,-0.09506975936336451,0.16858163243154103
558,168412,1,2,1,2,3,2,1,1,1,1,1,1,2,2,4,4,1,5,4,3,4,4,4,4,4,4,4,1,2,1,2,1,5,1,2,1,4,2,5,1,1,1,1,1,1,1,4,1,2,1,2,1,1,1,1,2,1,2,1,5,5,1,2,2,2,5,1,5,3,1,1,2,1,1,2,1,1,1,1,1,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,363854,1,16,-2.7596856983375426,1.6,1.3333333333333333,2.533333333333333,3.5,2.1,0,-2.998068729636261,-2.962616316507643,-0.44139921723652187,-0.21901584750532185,-1.9187382839175597
559,168415,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,275460,1,56,0.03741342780186473,3.0,2.933333333333333,3.0,3.0,3.0,0,-0.006127887030427133,-0.49001518783567777,0.4537748962244607,-0.9626923763570646,-0.6663463341080994
561,168460,1,3,3,3,3,3,1,3,3,4,2,3,2,3,2,3,3,3,3,3,3,3,3,3,4,4,3,2,3,2,3,3,4,3,4,3,4,3,5,1,3,4,4,4,3,4,3,3,3,2,4,4,3,3,4,2,3,3,4,3,3,2,2,3,3,3,3,3,4,4,2,3,3,3,3,4,2,3,3,2,4,3,4,4,3,3,4,5,3,4,4,4,4,4,2,3,3,3,3,4,2,364073,1,55,-0.032514050351620444,3.066666666666667,3.4,3.0,3.0833333333333335,3.2,0,0.13634548642699398,0.23116014136031232,0.4537748962244607,-0.8387462882151073,-0.38803701192821904
562,168493,1,4,5,4,4,2,4,3,3,3,1,3,1,3,3,3,4,4,3,3,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,5,4,4,5,1,3,3,4,4,4,4,3,4,1,3,2,4,5,4,4,3,2,4,3,3,4,3,4,2,2,2,4,3,2,3,4,4,4,4,3,3,4,2,4,4,4,1,4,3,2,4,5,4,5,4,4,4,4,4,4,2,3,4,4,4,5,428413,1,64,0.5968332530297462,3.3333333333333335,3.466666666666667,2.933333333333333,3.5833333333333335,4.1,0,0.7062389802566766,0.3341851883883112,0.32589288001574857,-0.09506975936336451,0.8643549378812406
563,168535,1,4,2,4,4,4,4,4,5,4,1,2,1,2,2,3,4,5,5,4,4,4,4,5,4,4,4,4,2,3,1,2,1,2,4,1,2,3,5,1,3,3,4,3,2,3,3,4,3,2,3,4,4,3,4,4,3,4,4,4,5,1,1,1,3,4,4,3,3,3,2,4,4,4,3,4,3,3,3,3,3,3,3,2,3,4,4,4,3,2,3,3,3,3,2,3,3,3,3,3,4,939572,1,50,-0.38215144111904636,3.1333333333333333,3.2,3.1333333333333333,4.25,2.1,0,0.2788188598844142,-0.07791499972368293,0.7095389286418842,0.8964989457722923,-1.9187382839175597
565,168565,1,4,4,3,3,4,4,3,3,3,4,4,3,3,4,4,3,2,2,3,3,3,3,4,3,5,4,3,4,3,5,4,4,4,4,5,5,3,1,1,4,4,4,3,4,4,4,4,2,5,5,5,4,4,4,3,4,4,5,2,3,4,4,2,4,3,4,3,4,4,1,3,3,3,4,4,1,3,2,2,2,4,4,4,3,4,4,4,4,3,4,5,5,3,3,5,5,5,4,5,3,652289,0,66,0.7366882093367165,2.8666666666666667,4.0,3.533333333333333,3.1666666666666665,4.1,1,-0.29107463394526845,1.1583855646122994,1.4768310258941546,-0.7148002000731506,0.8643549378812406
566,168616,1,3,5,3,5,3,2,5,5,3,3,2,3,4,2,4,4,5,4,4,5,5,3,5,4,5,3,3,2,3,5,4,4,5,5,5,3,3,5,1,3,5,3,4,4,2,3,3,3,3,2,3,2,5,4,3,3,3,4,4,2,1,3,3,3,5,3,3,5,2,5,2,3,3,5,5,4,5,5,5,3,4,3,1,1,3,3,2,2,3,3,3,3,2,2,2,4,4,4,3,1,620176,1,44,-0.8017163100399574,3.6,3.2666666666666666,3.1333333333333333,4.166666666666667,3.9,0,1.276132474086359,0.02511004730431525,0.7095389286418842,0.7725528576303355,0.5860456157013609
567,168652,1,2,3,2,3,3,4,2,3,2,1,2,2,3,2,5,5,3,4,3,4,5,3,4,2,3,3,3,3,2,5,4,3,5,3,2,3,4,5,1,3,5,2,5,4,3,5,5,2,3,2,5,4,3,5,2,2,3,5,3,3,3,4,3,2,4,2,2,4,2,3,2,3,2,3,2,1,2,4,3,3,3,4,5,2,3,4,5,4,5,5,5,5,3,1,4,3,4,5,4,2,557763,1,62,0.4569782967227758,2.8,3.7333333333333334,2.933333333333333,3.5,3.4,0,-0.43354800740268956,0.7462853765003054,0.32589288001574857,-0.21901584750532185,-0.10972768974833931
568,168691,1,1,5,1,3,5,2,1,3,1,1,4,1,2,2,5,5,5,4,5,5,5,5,5,4,4,4,1,4,2,4,4,4,4,4,1,4,4,5,1,3,3,4,4,2,4,3,5,4,2,2,4,3,2,5,1,1,1,4,3,4,1,1,1,3,2,3,3,2,2,4,3,3,4,4,3,2,4,4,5,3,4,4,5,2,5,4,4,3,4,3,3,3,5,3,3,2,4,3,5,4,591177,1,58,0.17726838410883508,3.6,3.3333333333333335,2.1333333333333333,4.333333333333333,3.5,0,1.276132474086359,0.12813509433231413,-1.2086913144887923,1.020445033914249,0.02942697134160086
569,168718,1,5,4,1,4,2,1,4,3,4,1,1,1,2,3,4,5,3,2,3,5,1,4,4,2,4,1,4,4,4,4,4,4,5,3,3,4,4,5,1,4,2,2,4,2,4,2,4,1,1,4,4,3,4,3,1,1,2,5,4,2,2,4,3,2,4,4,2,4,1,4,2,3,1,4,5,4,4,4,4,5,3,5,5,5,2,2,5,3,3,4,3,3,2,1,4,3,3,4,4,4,558192,1,50,-0.38215144111904636,3.8666666666666667,2.933333333333333,2.7333333333333334,3.1666666666666665,3.9,0,1.8460259679160418,-0.49001518783567777,-0.05775316861038625,-0.7148002000731506,0.5860456157013609
570,168772,1,4,3,3,3,5,3,3,3,3,3,4,4,5,4,3,4,3,3,4,4,3,5,4,4,4,3,1,2,4,4,5,2,4,4,4,4,1,5,1,3,4,3,5,3,4,4,2,5,3,3,3,4,4,4,3,3,3,5,5,2,2,5,5,4,3,2,2,3,4,2,4,1,4,3,3,4,2,3,4,3,4,4,4,4,2,4,2,3,4,3,2,5,2,4,3,3,2,4,2,1,560228,1,46,-0.661861353732987,3.2666666666666666,3.6,3.4,3.5,3.4,0,0.5637656067992555,0.5402352824443083,1.221066993476731,-0.21901584750532185,-0.10972768974833931
571,168805,1,2,5,3,5,3,5,3,5,5,3,5,2,1,2,2,5,5,1,5,5,5,3,5,5,5,5,5,5,1,5,4,5,3,5,4,4,5,5,1,3,1,2,4,2,2,5,4,5,1,2,5,2,5,3,3,1,2,2,1,2,1,1,2,1,1,2,2,1,3,5,3,3,2,5,3,4,3,5,5,4,1,1,1,1,4,4,4,5,2,3,2,4,4,3,3,4,3,4,3,3,760907,1,55,-0.032514050351620444,3.066666666666667,3.066666666666667,1.6666666666666667,4.5,4.1,0,0.13634548642699398,-0.28396509377968,-2.1038654279497746,1.2683372101981636,0.8643549378812406
572,168886,1,2,2,3,1,3,2,2,3,3,1,2,1,1,1,4,2,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,4,2,2,1,5,1,3,2,3,3,2,3,1,2,2,1,3,3,2,3,3,3,2,3,4,3,3,2,3,4,3,2,3,3,3,3,3,3,3,2,2,3,3,2,2,4,2,2,3,3,3,3,2,3,2,2,3,3,2,2,1,2,3,3,3,3,2,468508,1,39,-1.1513537008073833,2.6666666666666665,2.4,2.933333333333333,2.3333333333333335,2.2,0,-0.7184947543175308,-1.314215564059666,0.32589288001574857,-1.9542610814927215,-1.7795836228276196
573,168889,1,4,5,5,5,4,5,5,4,4,1,4,1,3,5,5,5,5,4,5,5,3,4,5,4,4,4,4,4,3,4,4,3,5,3,4,3,3,5,1,3,4,2,5,3,4,3,4,2,2,4,3,3,4,4,3,3,5,4,2,4,2,4,2,3,4,5,4,2,2,5,2,5,1,5,4,2,4,3,4,5,4,2,5,3,4,4,2,3,2,3,3,4,3,3,2,4,3,5,3,4,433794,1,52,-0.24229648481207597,3.6,3.3333333333333335,3.2666666666666666,4.333333333333333,3.6,0,1.276132474086359,0.12813509433231413,0.9653029610593077,1.020445033914249,0.16858163243154103
574,168916,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,4,3,3,5,3,3,3,5,3,3,3,3,3,3,3,3,2,2,3,5,1,1,2,2,3,1,2,3,2,3,1,3,2,3,2,1,2,2,2,4,1,3,1,2,2,3,3,2,2,2,1,3,4,5,2,2,4,3,3,2,5,4,2,5,3,3,1,3,2,3,2,3,3,3,2,1,2,4,5,4,4,4,529459,1,46,-0.661861353732987,3.3333333333333335,2.066666666666667,2.1333333333333333,3.4166666666666665,2.8,0,0.7062389802566766,-1.8293407991996582,-1.2086913144887923,-0.3429619356472792,-0.9446556562879798
